249.00,237.00,263.00,-14.00,11.00,6404,-9730,-258,-7938,-19200,-11520,
257.00,245.00,271.00,-13.00,11.00,6472,-5108,-14392,-303,171,229,
252.00,243.00,274.00,-13.00,9.00,6316,-5108,-14420,-291,143,207,
255.00,247.00,271.00,-13.00,10.00,6392,-5044,-14244,-262,177,138,
239.00,274.00,247.00,-14.00,9.00,6273,-1,-1,-288,131,208,
261.00,237.00,271.00,-13.00,14.00,6384,-5068,-14508,-340,488,29,
257.00,243.00,274.00,-13.00,14.00,6320,-5212,-14640,-367,320,131,
255.00,243.00,274.00,-13.00,13.00,5985,-1,-1,-310,482,172,
259.00,225.00,269.00,-13.00,15.00,6316,-5136,-28674,-279,32,238,
259.00,257.00,298.00,-13.00,15.00,5552,-4640,-13804,-1621,-1079,-321,1
215.00,245.00,283.00,-13.00,16.00,11352,-12260,708,-311,5,844,
228.00,214.00,235.00,-13.00,15.00,11672,-12836,-88,-2104,-814,-1001,
225.00,241.00,283.00,-13.00,16.00,12320,-11492,-2244,-2762,288,-915,
243.00,215.00,276.00,-13.00,16.00,12076,-11324,-3512,-1024,898,863,
220.00,271.00,317.00,-13.00,14.00,12876,-10924,-2884,-1483,802,682,
184.00,212.00,252.00,-14.00,16.00,11236,-11744,-4444,497,-1090,1573,
218.00,241.00,283.00,-13.00,16.00,12132,-10848,-3164,-1338,-61,409,
247.00,245.00,278.00,-13.00,16.00,11112,-9772,-3420,-971,1566,-195,
271.00,214.00,278.00,-14.00,16.00,12304,-11908,-5344,-661,-524,1748,
251.00,322.00,298.00,-14.00,16.00,11376,-11096,-5688,-213,472,-902,1
245.00,245.00,276.00,-13.00,12.00,14920,-2492,8120,-1160,-495,64,
263.00,241.00,276.00,-13.00,12.00,15392,-4104,6680,-212,60,154,
263.00,239.00,276.00,-13.00,12.00,15612,-5540,5876,-3337,-967,581,
259.00,241.00,274.00,-13.00,12.00,15640,-6264,4180,-3586,-258,-258,
